borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
MN,2045,90,110.0,9.0,10039.0,32.0,2805 FREDRICK DOUGLASS BL,NY,V1,11,,FDB GROUP LLC,1993,0,24.92,80.0,5,192150,0,,,1,1000792.0,240091.0,40.8256543,-73.9402294,6a,,New York
MN,2044,4,110.0,9.0,10030.0,32.0,28 BRADHURST AVENUE,NY,V1,11,,GRFO 28 BRADHURST LLC,1639,0,21.11,77.75,5,208800,0,,,1,999867.0,238838.0,40.8222169,-73.9435746,6a,,New York
MN,1495,56,108.0,4.0,10028.0,19.0,1122 MADISON AVENUE,NY,V1,11,,MADISON AVE OWNER LLC,6590,0,102.17,64.5,3,2900250,0,,,1,995288.0,223251.0,40.7794418,-73.9601445,8c,,New York
MN,1393,4,108.0,4.0,10075.0,19.0,971 5 AVENUE,NY,V1,11,X,REPUBLIC OF FRANCE,2000,0,20.0,100.0,5,943200,0,,,1,994299.0,222172.0,40.7764814,-73.9637171,8c,,New York
MN,1666,5,111.0,8.0,10029.0,25.0,207 EAST 116 STREET,NY,V1,11,,DLRMD REALTY CO,3028,0,30.0,100.92,5,344250,0,,,1,1001061.0,229997.0,40.7979486,-73.9392827,6b,,New York
MN,1667,29,111.0,8.0,10035.0,25.0,238 EAST 118 STREET,NY,V1,11,,"DEAN GROUP,",5046,0,50.0,100.92,5,686700,0,,,1,1001542.0,230148.0,40.7983621,-73.9375451,6b,,New York
MN,1666,105,111.0,8.0,10029.0,25.0,205 EAST 116 STREET,NY,V1,11,,DLRMD REALTY CO,3014,0,30.0,100.92,5,751050,0,,,1,1001037.0,230010.0,40.7979843,-73.9393694,6b,,New York
MN,694,40,104.0,3.0,10011.0,10.0,512 WEST 23 STREET,NY,V4,11,P,NEW YORK CENTRAL LINES,12097,0,57.5,197.5,5,3656250,0,,,1,982868.0,211637.0,40.7475711,-74.0049877,8b,,New York
MN,1688,34,111.0,8.0,10035.0,25.0,338 EAST 117 STREET,NY,V1,11,,"LAS RAICES HOUSING DEVELOPMENT FUND COMP ANY, INC.",2523,0,25.0,100.92,5,177750,0,,,1,1002048.0,229569.0,40.7967719,-73.9357191,6b,,New York
MN,1689,129,111.0,8.0,10035.0,25.0,314 EAST 118 STREET,NY,V1,11,,"BRIJA, ISA",832,0,16.5,50.42,5,129150,0,,,1,1002261.0,229778.0,40.7973452,-73.9349492,6b,,New York
MN,1667,120,111.0,8.0,10035.0,25.0,247 EAST 117 STREET,NY,V1,11,,CRYSTAL HOUSE AT EAST HARLEM LLC,4162,0,55.0,75.67,5,1000800,0,,,1,1001531.0,230021.0,40.7980136,-73.9375851,6b,,New York
MN,1667,34,111.0,8.0,10035.0,25.0,228 EAST 118 STREET,NY,V1,11,,228 EAST 118TH STREET REALTY LLC,5551,0,55.0,100.92,5,836550,0,,,1,1001434.0,230208.0,40.798527,-73.937935,6b,,New York
MN,1665,24,111.0,8.0,10029.0,25.0,2245 2 AVENUE,NY,V1,11,,NUEVO EL BARRIO PARA LA REHABILITACION,2603,0,28.92,90.0,5,602100,0,,,1,1001292.0,229509.0,40.7966087,-73.9384496,6b,,New York
MN,1666,23,111.0,8.0,10035.0,25.0,2269 2 AVENUE,NY,V1,11,X,EL CEMI HOUSING DEVELOPMENT FUND CORP,1800,0,20.0,90.0,5,416250,0,,,1,1001465.0,229821.0,40.7974648,-73.937824,6b,,New York
MN,2128,48,112.0,10.0,10032.0,33.0,2238A AMSTERDAM AVENUE,NY,V1,11,,"NEW YORK HE TRADING CO., LLC",2500,0,25.0,100.0,5,205200,0,,,1,1002045.0,246084.0,40.842101,-73.9356861,3b,,New York
MN,1435,151,108.0,5.0,10065.0,19.0,1152 2 AVENUE,NY,V1,11,,1152 MANHATTAN LLC,1500,0,20.0,75.0,5,320850,0,,,1,994407.0,216715.0,40.7615032,-73.9633354,8c,,New York
MN,1435,3,108.0,5.0,10065.0,19.0,1146 2 AVENUE,NY,V1,11,,"1146-48 SECOND AVENUE, LLC",3000,0,40.0,75.0,5,434700,0,,,1,994383.0,216672.0,40.7613852,-73.9634221,8c,,New York
MN,1437,10,108.0,5.0,10065.0,19.0,323 EAST 62 STREET,NY,V1,11,C,NYC DEPARTMENT OF TRANSPORTATION,10142,0,51.0,200.83,4,2113650,0,,,1,994837.0,217039.0,40.762392,-73.9617827,8c,,New York
