borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
SI,3481,40,502.0,50.0,10305.0,122.0,735 LIBERTY AVENUE,NY,V0,11,,"BEHAROVIC, ELEZ",2000,0,20.0,100.0,5,5880,0,,,5,962251.0,150333.0,40.5792781,-74.0791949,27d,,New York
SI,3755,4,502.0,50.0,10305.0,122.0,788 OLYMPIA BOULEVARD,NY,V0,11,C,CITY OF NEW YORK,5639,0,26.0,214.0,5,16920,0,,,5,960061.0,150121.0,40.5786905,-74.087078,27d,,New York
SI,4781,9,503.0,50.0,10306.0,122.0,87 FOX BEACH AVENUE,NY,V0,11,C,CITY OF NEW YORK,1500,0,25.0,60.0,5,4380,0,,,5,952599.0,140429.0,40.5520643,-74.1138951,34a,,New York
SI,4793,42,503.0,50.0,10306.0,122.0,62 TARLTON STREET,NY,V0,11,C,CITY OF NEW YORK,2000,0,25.0,80.0,5,5880,0,,,5,952124.0,140580.0,40.5524771,-74.1156051,34a,,New York
SI,3838,33,502.0,50.0,10305.0,122.0,693 OCEANSIDE AVENUE,NY,V0,11,,"TAVELLA, VINCENT",1747,0,22.0,93.0,5,180,0,,,5,962014.0,149963.0,40.5782619,-74.0800469,27d,,New York
SI,1272,394,501.0,49.0,10303.0,121.0,114 NORTHFIELD AVENUE,NY,V0,11,,116 NORTHFIELD AVE VENTURES LLC,3750,0,37.5,100.0,5,11220,0,,,5,937495.0,171641.0,40.637668,-74.1684623,20c,,New York
SI,895,61,502.0,50.0,10306.0,122.0,1891 RICHMOND ROAD,NY,V0,11,,"MANGONE DEVELOPERS, INC.",31318,0,277.0,103.0,5,112320,0,,,5,954569.0,152408.0,40.5849511,-74.1068587,27a,,New York
SI,4767,13,503.0,50.0,10306.0,122.0,165 FOX BEACH AVENUE,NY,V0,11,C,CITY OF NEW YORK,1500,0,25.0,60.0,5,4380,0,,,5,952010.0,141188.0,40.5541455,-74.1160182,34a,,New York
SI,3871,6,502.0,50.0,10306.0,122.0,103 MAPLETON AVENUE,NY,V0,11,,ZNB LLC,1900,0,20.0,95.0,5,5580,0,,,5,959442.0,148015.0,40.5729082,-74.0892986,27d,,New York
SI,1149,81,501.0,49.0,10303.0,121.0,66 MORNINGSTAR ROAD,NY,V0,11,,68 MORNINGSTAR ROAD VENTURES LLC,2893,0,22.0,131.5,5,9960,0,,,5,943814.0,171071.0,40.6361346,-74.145691,20c,,New York
