borough,Tax block,Tax lot,community board,census tract 2010,cb2010,schooldist,council district,postcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,BBL,condono,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes,bct2020,bctcb2020
MN,1480,118,108,116,1000,2,5,10065,L016,19,4400,1,1B,F D R DRIVE,R9,,,,,,,,,,false,V1,11,0,X,THE ROCKEFELLER UNIVERSITY,56,0,,,,,,,,,7,0,,0,0,3.5,17,0,0,,0,false,8,5,1350,1350,1350,0,0,0,,,0,7.52,0,10,1,1014800118,,116,996706,216815,40.7617747,-73.9550364,9a,,106E068,10512,,,,1,24v3,8,13,1,1,,,,,,,,,,,,1011600,10116001009
MN,1480,111,108,116,1000,2,5,10065,L016,19,4400,1,1B,F D R DRIVE,R9,,,,,,,,,,false,V1,11,0,X,THE ROCKEFELLER UNIVERSITY,60,0,,,,,,,,,7,0,,0,0,3.5,17,0,0,,0,false,8,5,1350,1350,1350,0,0,0,,,0,7.52,0,10,1,1014800111,,116,997122,217367,40.7632892,-73.9535336,9a,,106E068,10512,,,,1,24v3,8,13,1,1,,,,,,,,,,,,1011600,10116001009
MN,1273,9,105,112.01,1002,2,4,10019,E023,18,4800,1,2B,43 WEST 57 STREET,C5-3,,,,,,MiD,,,,false,V1,11,0,,BOB 57 DEVELOPMENT LLC,3256,0,,,,,,,,,7,0,,0,0,32.42,100.42,0,0,,0,false,5,5,2095200,2095200,0,0,0,0,,,0,10,15,15,1,1012730009,,11201,990843,217699,40.7642074,-73.9761997,8c,,106W034,10502,E-643,,,1,24v3,5,13,,,,,,,,,,,,,,1011201,10112011002
MN,1273,7,105,112.01,1002,2,4,10019,E023,18,4800,1,2B,45 WEST 57 STREET,C5-3,,,,,,MiD,,,,false,V1,11,0,,BOB 57 DEVELOPMENT LLC,5045,0,,,,,,,,,7,0,,0,0,50.25,100.42,0,0,,0,false,5,5,3006450,3006450,0,0,0,0,,,0,10,15,15,1,1012730007,,11201,990807,217719,40.7642623,-73.9763297,8c,,106W034,10502,E-643,,,1,24v3,5,13,,,,,,,,,,,,,,1011201,10112011002
MN,1426,120,108,126,2000,2,5,10021,L016,19,4200,1,2A,257 EAST 71 STREET,C1-9,R8B,,,,,TA,,,,true,V1,11,0,,259 EAST 72 OWNER LLC,1890,0,,,,,,,,,7,1,,0,0,18.5,102.17,0,0,,0,false,5,5,477900,477900,0,0,0,0,,,0,10,2,10,1,1014260120,,126,995560,219264,40.7684981,-73.9591691,8c,,106E059,10510,,,,1,24v3,8,13,,,,,,,,,,,,,,1012602,10126022000
MN,1426,25,108,126,2000,2,5,10021,L016,19,4200,1,2B,1357 2 AVENUE,R10A,,,,C1-5,,TA,,,,false,V1,11,0,,CF EAST 72 OWNER LLC,6068,0,,,,,,,,,7,0,,0,0,102.17,59.33,0,0,,0,false,3,5,895500,895500,0,0,0,0,,,0,10,0,10,1,1014260025,,126,995665,219325,40.7686654,-73.9587899,8c,,106E059,10510,,,,1,24v3,8,13,,,,,,,,,,,,,,1012602,10126022000
MN,1426,121,108,126,2000,2,5,10021,L016,19,4200,1,2A,259 EAST 71 STREET,C1-9,,,,,,TA,,,,false,V1,11,0,,259 EAST 72 OWNER LLC,1890,0,,,,,,,,,7,0,,0,0,18.5,102.17,0,0,,0,false,5,5,477900,477900,0,0,0,0,,,0,10,2,10,1,1014260121,,126,995576,219254,40.7684707,-73.9591113,8c,,106E059,10510,,,,1,24v3,8,13,,,,,,,,,,,,,,1012602,10126022000
MN,1262,32,105,96,1003,2,4,10036,L004,18,4800,1,2B,5 WEST 46 STREET,C5-3,,,,,,MiD,,,,false,V1,11,0,,46/47 OWNER LLC,2152,0,,,,,,,,,7,0,,0,0,21.42,100.42,0,0,,0,false,5,5,895500,895500,0,0,0,0,,,0,10,15,15,1,1012620032,,96,989939,214877,40.7564624,-73.9794655,8d,,104 045,10501,,,,1,24v3,5,13,,,,,,,,,,,,,,1009600,10096002002
MN,1262,34,105,96,1003,2,4,10036,L004,18,4800,1,2B,562 5 AVENUE,C5-3,,,,,,MiD,,,,false,V1,11,0,,562 LNBL LLC,3575,42349,,,,,,,,,2,0,,0,0,27.08,100,0,0,,0,true,3,5,3899700,3899700,0,920,987,0,,,11.85,10,15,15,1,1012620034,,96,989991,214815,40.7562922,-73.9792779,8d,,104 045,10501,,,,1,24v3,5,13,,,,,,,,,,,,,,1009600,10096002002
MN,1368,143,106,106.01,3000,2,4,10022,E008,17,4900,1,3B,EAST 57 STREET,R10,,,,,,,,,,false,V1,11,0,,KENNETH G BROWN,66,0,,,,,,,,,7,0,,0,0,2.67,20,0,0,,0,true,5,5,900,900,0,0,0,0,,,0,10,0,10,1,1013680143,,10601,994641,215313,40.7576548,-73.9624929,8d,,106E062,10507,,,,1,24v3,6,13,,,,,,,,,,,,,,1010601,10106013000
