borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
BK,1619,7,303.0,36.0,11221.0,81.0,243 MARCUS GARVEY BLVD,NY,V1,11,,RASH LLC,1573,0,19.67,80.0,5,105300,0,,,3,1001148.0,190485.0,40.6894979,-73.9390678,17a,,New York
BK,278,1,302.0,33.0,11201.0,84.0,237 PACIFIC STREET,NY,V1,11,,235 PACIFIC LLC,1875,0,25.0,75.0,3,253350,0,,,3,986711.0,190216.0,40.6887754,-73.991126,16c,,New York
BK,1121,47,302.0,35.0,11238.0,78.0,524 VANDERBILT AVENUE,NY,V1,11,X,METROPOLITAN TRANSPORTATION AUTHORITY,5625,0,75.0,75.0,3,203400,0,,,3,993148.0,187460.0,40.6812066,-73.9679188,16c,,New York
BK,1121,42,302.0,35.0,11238.0,78.0,516 VANDERBILT AVENUE,NY,V1,11,X,MTA - LIRR,11500,0,75.0,95.0,3,288900,0,,,3,993167.0,187565.0,40.6814948,-73.9678502,16c,,New York
BK,6305,6,311.0,38.0,11228.0,62.0,15 AVENUE,NY,V0,11,,DRAZIC FAMILY 2016 REVOCABLE TRUST,1100,0,11.0,100.0,8,1704,0,,,3,982268.0,162717.0,40.6132967,-74.0071387,22b,,New York
BK,1887,40,302.0,35.0,11205.0,88.0,69 VANDERBILT AVENUE,NY,V0,11,,LOUIS A SOMMA,2300,0,23.0,100.0,3,43500,0,Wallabout Historic District,,3,992555.0,192738.0,40.6956941,-73.9700503,12d,,New York
BK,1887,36,302.0,35.0,11205.0,88.0,77 VANDERBILT AVENUE,NY,V0,11,,FRIEDLANDER KENNETH,3248,0,23.0,115.0,5,78240,0,,,3,992592.0,192650.0,40.6954525,-73.969917,12d,,New York
BK,1887,37,302.0,35.0,11205.0,88.0,75 VANDERBILT AVENUE,NY,V0,11,,FRIEDLANDER KENNETH,2867,0,23.0,115.0,5,63120,0,,,3,992584.0,192677.0,40.6955267,-73.9699458,12d,,New York
BK,2045,28,302.0,35.0,11205.0,88.0,85 ADELPHI STREET,NY,V0,11,,MURIEL E PITTS ARTHURS,1667,0,16.67,100.0,5,29340,0,,,3,992022.0,192574.0,40.6952445,-73.9719727,12d,,New York
BK,5769,31,311.0,43.0,11219.0,62.0,1444 67 STREET,NY,V0,11,,"67 STREET DEVELOPMENT, LLC",2400,0,20.0,120.0,5,26160,0,,,3,984432.0,166057.0,40.6224645,-73.9993444,22d,,New York
BK,5720,76,312.0,44.0,11219.0,66.0,61 STREET,NY,V0,11,,"SHUM, LEPSUN",500,0,5.0,100.0,8,316,0,,,3,985258.0,167658.0,40.6268589,-73.9963687,22c,,New York
BK,5719,24,312.0,44.0,11219.0,66.0,1340 60 STREET,NY,V1,11,,1360 60 STREET LLC,8000,0,80.0,100.0,5,218700,0,,,3,984928.0,168050.0,40.6279349,-73.9975575,22c,,New York
BK,5711,52,312.0,44.0,11219.0,66.0,1261 60TH STREET,NY,V1,11,,13 59&60TH LOT LLC,10020,0,100.0,100.17,5,256050,0,,,3,984497.0,168618.0,40.629494,-73.9991101,22c,,New York
BK,5753,35,310.0,43.0,11219.0,68.0,1284 65 STREET,NY,V1,11,,6502 13 LLC,5815,0,60.0,96.92,3,485100,0,,,3,983714.0,167307.0,40.6258955,-74.0019309,22b,,New York
BK,6188,6,310.0,38.0,11228.0,68.0,7211 12 AVENUE,NY,V0,11,,"BIANCHI VITA, DIANA",1000,0,10.0,100.0,8,1638,0,,,3,982065.0,166228.0,40.6229336,-74.007871,22b,,New York
BK,5748,13,311.0,43.0,11219.0,62.0,64 STREET,NY,V1,11,,"1412 64TH STREET REALTY, LLC",2000,0,20.0,100.0,5,46800,0,,,3,984697.0,166906.0,40.6247949,-73.9983897,22d,,New York
BK,6326,72,311.0,38.0,11214.0,62.0,8420 18 AVENUE,NY,V1,11,,"BARAK, JOHN W",815,0,37.83,57.0,3,18900,0,,,3,983806.0,160902.0,40.6083151,-74.0015991,22b,,New York
BK,2014,41,302.0,35.0,11238.0,88.0,480 GRAND AVENUE,NY,V0,11,,MT CALVARY U H CHURCH INC,2200,0,22.0,100.0,5,18000,0,,,3,994850.0,187644.0,40.6817098,-73.9617821,16c,,New York
BK,1951,30,302.0,35.0,11238.0,88.0,50 CLIFTON PLACE,NY,V1,11,,GRAND OLD PROPERTIES INC.,2500,0,25.0,100.0,3,148500,0,,,3,994564.0,189780.0,40.687573,-73.96281,16c,,New York
BK,6399,18,311.0,47.0,11214.0,62.0,139 BAY 14 STREET,NY,V0,11,,NIE S FAMILY LLC,3033,0,27.33,108.33,5,20100,0,,,3,981941.0,160118.0,40.6061629,-74.0083156,22b,,New York
BK,2062,24,302.0,35.0,11201.0,88.0,163 WILLOUGHBY STREET,NY,V1,11,,159 WILLOUGHBY REALTY LLC,4006,0,72.39,75.0,5,39142,0,,,3,989187.0,191461.0,40.6921916,-73.982197,16c,,New York
BK,546,8,306.0,38.0,11231.0,76.0,295 VAN BRUNT STREET,NY,V1,11,,LONUZZI MATTHEW,1219,0,17.5,69.67,5,148050,0,,,3,981184.0,186524.0,40.6786415,-74.0110538,16a,,New York
BK,545,25,306.0,38.0,11231.0,76.0,334 VAN BRUNT STREET,NY,V1,11,,NY 336 VAN BRUNT LLC,1509,0,24.5,61.75,5,121050,0,,,3,981007.0,186527.0,40.6786497,-74.011692,16a,,New York
BK,564,37,306.0,38.0,11231.0,76.0,154 WOLCOTT STREET,NY,V1,11,,CONOVER ASSOC.,2000,0,20.0,100.0,5,137250,0,,,3,980215.0,186552.0,40.6787179,-74.0145474,16a,,New York
BK,598,1,306.0,38.0,11231.0,76.0,403 VAN BRUNT STREET,NY,V1,11,,RED HOOK BUILDING COMPANY LLC,1800,0,20.0,90.0,3,54900,0,,,3,980228.0,185442.0,40.6756713,-74.0144999,16a,,New York
BK,588,8,306.0,38.0,11231.0,76.0,185 RICHARDS STREET,NY,V0,11,,SKINNYHOUSE LLC,2375,0,25.0,75.0,3,34860,0,,,3,980933.0,185398.0,40.6755508,-74.0119582,16a,,New York
BK,598,2,306.0,38.0,11231.0,76.0,401 VAN BRUNT STREET,NY,V1,11,,RED HOOK BUILDING COMPANY LLC,1800,0,20.0,90.0,5,61200,0,,,3,980242.0,185458.0,40.6757152,-74.0144494,16a,,New York
BK,597,27,306.0,38.0,11231.0,76.0,8 VAN BRUNT STREET,NY,V1,11,,OFFICE OF URBAN TERRAINS LLC,1725,0,25.0,69.0,5,203850,0,,,3,980154.0,185578.0,40.6760445,-74.0147667,16a,,New York
BK,603,14,306.0,38.0,11231.0,76.0,153 VAN DYKE STREET,NY,V1,11,,VAN D OPPORTUNITY LLC,2000,0,20.0,100.0,5,241650,0,,,3,979929.0,185548.0,40.6759621,-74.0155779,16a,,New York
BK,603,11,306.0,38.0,11231.0,76.0,157 VAN DYKE STREET,NY,V1,11,,VAN D OPPORTUNITY LLC,4000,0,40.0,100.0,5,278100,0,,,3,979892.0,185581.0,40.6760526,-74.0157113,16a,,New York
BK,597,22,306.0,38.0,11231.0,76.0,408 VAN BRUNT STREET,NY,V0,11,,DEITCHER GLORIA,1235,0,19.0,65.0,5,19980,0,,,3,980229.0,185657.0,40.6762614,-74.0144964,16a,,New York
BK,597,23,306.0,38.0,11231.0,76.0,410 VAN BRUNT STREET,NY,V0,11,,"KROPSKY, GLORIA DEITCHER",2405,0,37.0,65.0,5,39060,0,,,3,980210.0,185637.0,40.6762065,-74.0145649,16a,,New York
