borough,Tax block,Tax lot,community board,census tract 2010,cb2010,schooldist,council district,postcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,state,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,BBL,condono,tract2010,x,y,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes,bct2020,bctcb2020
MN,1480,112,108.0,116.0,1000.0,2.0,5.0,10065.0,L016,19.0,4400.0,1.0,1B,F D R DRIVE,,R9,,,,,,,,,,False,V1,11,0,X,THE ROCKEFELLER UNIVERSITY,60,0,,,,,,,,,7,0,,0,0,3.5,17.0,0,0,,0,False,8,5,1350,1350,1350,0,0,0,,,0.0,7.52,0.0,10.0,1,1014800112,,116.0,997074.0,217295.0,40.7630917,-73.953707,9a,,106E068,10512.0,,,,1,24v3,8.0,13.0,1.0,1.0,,,,,,,,,,,,1011600.0,10116001009.0
MN,1480,118,108.0,116.0,1000.0,2.0,5.0,10065.0,L016,19.0,4400.0,1.0,1B,F D R DRIVE,,R9,,,,,,,,,,False,V1,11,0,X,THE ROCKEFELLER UNIVERSITY,56,0,,,,,,,,,7,0,,0,0,3.5,17.0,0,0,,0,False,8,5,1350,1350,1350,0,0,0,,,0.0,7.52,0.0,10.0,1,1014800118,,116.0,996706.0,216815.0,40.7617747,-73.9550364,9a,,106E068,10512.0,,,,1,24v3,8.0,13.0,1.0,1.0,,,,,,,,,,,,1011600.0,10116001009.0
MN,1480,111,108.0,116.0,1000.0,2.0,5.0,10065.0,L016,19.0,4400.0,1.0,1B,F D R DRIVE,,R9,,,,,,,,,,False,V1,11,0,X,THE ROCKEFELLER UNIVERSITY,60,0,,,,,,,,,7,0,,0,0,3.5,17.0,0,0,,0,False,8,5,1350,1350,1350,0,0,0,,,0.0,7.52,0.0,10.0,1,1014800111,,116.0,997122.0,217367.0,40.7632892,-73.9535336,9a,,106E068,10512.0,,,,1,24v3,8.0,13.0,1.0,1.0,,,,,,,,,,,,1011600.0,10116001009.0
MN,1273,9,105.0,112.01,1002.0,2.0,4.0,10019.0,E023,18.0,4800.0,1.0,2B,43 WEST 57 STREET,,C5-3,,,,,,MiD,,,,False,V1,11,0,,BOB 57 DEVELOPMENT LLC,3256,0,,,,,,,,,7,0,,0,0,32.42,100.42,0,0,,0,False,5,5,2095200,2095200,0,0,0,0,,,0.0,10.0,15.0,15.0,1,1012730009,,11201.0,990843.0,217699.0,40.7642074,-73.9761997,8c,,106W034,10502.0,E-643,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011201.0,10112011002.0
MN,1273,7,105.0,112.01,1002.0,2.0,4.0,10019.0,E023,18.0,4800.0,1.0,2B,45 WEST 57 STREET,,C5-3,,,,,,MiD,,,,False,V1,11,0,,BOB 57 DEVELOPMENT LLC,5045,0,,,,,,,,,7,0,,0,0,50.25,100.42,0,0,,0,False,5,5,3006450,3006450,0,0,0,0,,,0.0,10.0,15.0,15.0,1,1012730007,,11201.0,990807.0,217719.0,40.7642623,-73.9763297,8c,,106W034,10502.0,E-643,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011201.0,10112011002.0
MN,1426,120,108.0,126.0,2000.0,2.0,5.0,10021.0,L016,19.0,4200.0,1.0,2A,257 EAST 71 STREET,,C1-9,R8B,,,,,TA,,,,True,V1,11,0,,259 EAST 72 OWNER LLC,1890,0,,,,,,,,,7,1,,0,0,18.5,102.17,0,0,,0,False,5,5,477900,477900,0,0,0,0,,,0.0,10.0,2.0,10.0,1,1014260120,,126.0,995560.0,219264.0,40.7684981,-73.9591691,8c,,106E059,10510.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1012602.0,10126022000.0
MN,1426,25,108.0,126.0,2000.0,2.0,5.0,10021.0,L016,19.0,4200.0,1.0,2B,1357 2 AVENUE,,R10A,,,,C1-5,,TA,,,,False,V1,11,0,,CF EAST 72 OWNER LLC,6068,0,,,,,,,,,7,0,,0,0,102.17,59.33,0,0,,0,False,3,5,895500,895500,0,0,0,0,,,0.0,10.0,0.0,10.0,1,1014260025,,126.0,995665.0,219325.0,40.7686654,-73.9587899,8c,,106E059,10510.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1012602.0,10126022000.0
MN,1426,121,108.0,126.0,2000.0,2.0,5.0,10021.0,L016,19.0,4200.0,1.0,2A,259 EAST 71 STREET,,C1-9,,,,,,TA,,,,False,V1,11,0,,259 EAST 72 OWNER LLC,1890,0,,,,,,,,,7,0,,0,0,18.5,102.17,0,0,,0,False,5,5,477900,477900,0,0,0,0,,,0.0,10.0,2.0,10.0,1,1014260121,,126.0,995576.0,219254.0,40.7684707,-73.9591113,8c,,106E059,10510.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1012602.0,10126022000.0
MN,1262,32,105.0,96.0,1003.0,2.0,4.0,10036.0,L004,18.0,4800.0,1.0,2B,5 WEST 46 STREET,,C5-3,,,,,,MiD,,,,False,V1,11,0,,46/47 OWNER LLC,2152,0,,,,,,,,,7,0,,0,0,21.42,100.42,0,0,,0,False,5,5,895500,895500,0,0,0,0,,,0.0,10.0,15.0,15.0,1,1012620032,,96.0,989939.0,214877.0,40.7564624,-73.9794655,8d,,104 045,10501.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1009600.0,10096002002.0
MN,1262,34,105.0,96.0,1003.0,2.0,4.0,10036.0,L004,18.0,4800.0,1.0,2B,562 5 AVENUE,,C5-3,,,,,,MiD,,,,False,V1,11,0,,562 LNBL LLC,3575,42349,,,,,,,,,2,0,,0,0,27.08,100.0,0,0,,0,True,3,5,3899700,3899700,0,920,987,0,,,11.85,10.0,15.0,15.0,1,1012620034,,96.0,989991.0,214815.0,40.7562922,-73.9792779,8d,,104 045,10501.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1009600.0,10096002002.0
MN,1368,143,106.0,106.01,3000.0,2.0,4.0,10022.0,E008,17.0,4900.0,1.0,3B,EAST 57 STREET,,R10,,,,,,,,,,False,V1,11,0,,KENNETH G BROWN,66,0,,,,,,,,,7,0,,0,0,2.67,20.0,0,0,,0,True,5,5,900,900,0,0,0,0,,,0.0,10.0,0.0,10.0,1,1013680143,,10601.0,994641.0,215313.0,40.7576548,-73.9624929,8d,,106E062,10507.0,,,,1,24v3,6.0,13.0,,,,,,,,,,,,,,1010601.0,10106013000.0
MN,1480,120,108.0,116.0,1000.0,2.0,5.0,10065.0,L016,19.0,4400.0,1.0,1B,F D R DRIVE,,R9,,,,,,,,,,False,V1,11,0,X,THE ROCKEFELLER UNIVERSITY,56,0,,,,,,,,,7,0,,0,0,3.5,17.0,0,0,,0,False,8,5,1350,1350,1350,0,0,0,,,0.0,7.52,0.0,10.0,1,1014800120,,116.0,996580.0,216673.0,40.7613852,-73.9554915,9a,,106E068,10512.0,,,,1,24v3,8.0,13.0,1.0,1.0,,,,,,,,,,,,1011600.0,10116001009.0
